Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
denglu-copy,Chrome 72.0.3626.81,,2019-02-22 09:57:28,2019-02-22 09:57:41,12.912s,PASSED
,,,,,,
Test Cases/denglu - Copy,Chrome 72.0.3626.81,,2019-02-22 09:57:28,2019-02-22 09:57:41,12.744s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-02-22 09:57:28,2019-02-22 09:57:31,3.282s,PASSED
"navigateToUrl(""http://192.168.6.64/#/"")",Chrome 72.0.3626.81,,2019-02-22 09:57:31,2019-02-22 09:57:35,3.082s,PASSED
"setText(findTestObject(""Object Repository/denglu/Page_VisionStack/input__username""), ""admin"")",Chrome 72.0.3626.81,,2019-02-22 09:57:35,2019-02-22 09:57:35,0.148s,PASSED
"setEncryptedText(findTestObject(""Object Repository/denglu/Page_VisionStack/input__password""), ""MjBx0EvJu5YFFplPJZ1HyA=="")",Chrome 72.0.3626.81,,2019-02-22 09:57:35,2019-02-22 09:57:35,0.147s,PASSED
"click(findTestObject(""Object Repository/denglu/Page_VisionStack/button_""))",Chrome 72.0.3626.81,,2019-02-22 09:57:35,2019-02-22 09:57:35,0.074s,PASSED
waitForAlert(5),Chrome 72.0.3626.81,,2019-02-22 09:57:35,2019-02-22 09:57:40,5.070s,PASSED
"verifyElementText(findTestObject(""yanzheg/Page_VisionStack/denglu1""), ""admin"")",Chrome 72.0.3626.81,,2019-02-22 09:57:40,2019-02-22 09:57:40,0.040s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-02-22 09:57:40,2019-02-22 09:57:41,0.637s,PASSED
